image1,image2,name,summery
https://st.hzcdn.com/simgs/6991c57d0f9cec5e_9-2946,https://st.hzcdn.com/simgs/80d19bc00f9cec5f_9-2946,Pemberly Row Wood Dining Swivel Counter Stools in Distressed Gray (Set of 2),
https://st.hzcdn.com/simgs/ff11f8f60e9f6ea1_9-3042,https://st.hzcdn.com/simgs/9ec1a41c0e9f6ea5_9-3185,"Nicole Miller Marc Velvet Accent Chair With Acrylic Legs, Purple","accent chair,apartment,bed-room,Chic,classic,college,commercial,contemporary,cute,dining chair,dorm,frame,functional,glam,glass,Home,house,living-room,luxe,midcentury,modern,padded,seat back,stainless steel,studio"
https://st.hzcdn.com/simgs/828106e40b046a2f_9-5612/home-design.jpg,,"Hannah Velvet Dining Chairs, Set of 2, Black","accent chair,beige,Best,black,chair,contemporary,contemporary chair,cream,grey,meridian,meridian furniture,modern,nailhead chair,navy,pink,sky blue,transitional,tufted chair,velvet,velvet chair"
https://st.hzcdn.com/simgs/eca1acfa0bc5effa_9-3671,https://st.hzcdn.com/simgs/1f2190fe0bc5effb_9-3671,"Uttermost 23244 Gamlin - 41"" Counter Stool","counter,gamlin gray,stool,uttermost"
https://st.hzcdn.com/simgs/90c122ff058aa89e_9-1960/home-design.jpg,,Baxton Studio Marquis Tan Microfiber Club Chair,"accent chair cheap,accent chair contemporary,accent chair cushions,accent chair decorating ideas,accent chair designs,Accent Chair fabric,accent chair upholstered,accent chairs for living room,accent chairs with arms"
https://st.hzcdn.com/simgs/46b13b4a07169133_9-3031,https://st.hzcdn.com/simgs/389106e507169138_9-3031,Glacier Country Collection Side Chair With Ergonomic Wooden Seat,"dining chair,dining room,genuine lodge pole pine,hand crafted,heirloom quality,kitchen chair,log furniture,made in montana,Made in U.S.A.,montana woodworks,rustic furniture,side chair,solid wood"
https://st.hzcdn.com/simgs/f1112e190ec8f23a_9-7980/home-design.jpg,,"Swivel Performance Velvet Armchair, White","affordable,armchair,Armchair set,Armchair White,armchair yellow,chair,Dining,Dining Armchair Set,free shipping,furniture,Home,home d�cor,Home Interior,houzz armchair,indoor,leather armchair,luxurious swivel armchair;velvet polyester upholstery;durabl,modern furniture,Outdoor,Outdoor armchair,patio armchair,performance velvet armchair,sofa,upholstered armchair,velvet armchair"
https://st.hzcdn.com/simgs/559115010c378f87_9-9378,https://st.hzcdn.com/simgs/10311f450c378f89_9-6966,"Paloma Cognac Velvet Accent Chair, Cognac",
https://st.hzcdn.com/simgs/16a17ef50f9068fe_9-2086,https://st.hzcdn.com/simgs/5201ffb10f9068ff_9-3657,"GDF Studio Oliver Farmhouse Armchair, Green Checkerboard/Dark Brown",
https://st.hzcdn.com/simgs/3a2144320d0d2e19_9-8773,https://st.hzcdn.com/simgs/006140ec0d0d2e1a_9-6128,"West Palm Living Room Accent Chair in Rustic Oak, Beige","Beige accent chair,living room accent chair,Rustic Arm Accent Chair,taupe accent chair,Weathered Oak Accent Chair,wood accent chair"
